language,perturbation,pipeline,cosine_similarity,num_comparison
es,spelling,vanilla,0.861705349678851,2750
es,word_order,vanilla,0.8496494071570653,2749
es,synonym,vanilla,0.848,2749
es,intensifier,vanilla,0.8445040177836163,2755
es,expansion_noimpact,vanilla,0.8481702405005992,2745
es,expansion_impact,vanilla,0.8295029133625795,2731
es,omission,vanilla,0.8180554072937499,2661
es,alteration,vanilla,0.7793583445251344,2616
fr,spelling,vanilla,0.8591391517940414,2776
fr,word_order,vanilla,0.8454616442201998,2777
fr,synonym,vanilla,0.845367734333238,2770
fr,intensifier,vanilla,0.8461334446467162,2787
fr,expansion_noimpact,vanilla,0.8452383892291262,2770
fr,expansion_impact,vanilla,0.8294055209060913,2769
fr,omission,vanilla,0.8309941091639574,2657
fr,alteration,vanilla,0.751401725819831,2577
hi,spelling,vanilla,0.8636853623532436,2750
hi,word_order,vanilla,0.8210814513897005,2691
hi,synonym,vanilla,0.8419347996145145,2739
hi,intensifier,vanilla,0.8404633729670424,2763
hi,expansion_noimpact,vanilla,0.8468735425014273,2769
hi,expansion_impact,vanilla,0.8245912378837095,2745
hi,omission,vanilla,0.7935153907148241,2511
hi,alteration,vanilla,0.7950788559314952,2656
tl,spelling,vanilla,0.8853027791973872,2779
tl,word_order,vanilla,0.8572098183222984,2744
tl,synonym,vanilla,0.8603567272327018,2765
tl,intensifier,vanilla,0.8642327760478894,2759
tl,expansion_noimpact,vanilla,0.8658118206530218,2770
tl,expansion_impact,vanilla,0.8480902332430276,2753
tl,omission,vanilla,0.8229428043661614,2565
tl,alteration,vanilla,0.800713602666862,2671
zh,spelling,vanilla,0.8072555746200093,2716
zh,word_order,vanilla,0.803879307950896,2749
zh,synonym,vanilla,0.8037744402674862,2720
zh,intensifier,vanilla,0.8023600023615161,2747
zh,expansion_noimpact,vanilla,0.8013547430037532,2753
zh,expansion_impact,vanilla,0.78290470828339,2759
zh,omission,vanilla,0.7649015263107376,2556
zh,alteration,vanilla,0.7465036583203635,2599
es,spelling,semantic,0.8878498076019007,2685
es,word_order,semantic,0.873645798334451,2681
es,synonym,semantic,0.8735738312815167,2688
es,intensifier,semantic,0.8665765152384295,2684
es,expansion_noimpact,semantic,0.8708439672452661,2680
es,expansion_impact,semantic,0.8592658883058436,2677
es,omission,semantic,0.8425937134550292,2640
es,alteration,semantic,0.8026618872848238,2568
fr,spelling,semantic,0.8811464946672823,2697
fr,word_order,semantic,0.8595941653572178,2688
fr,synonym,semantic,0.8636560164568797,2697
fr,intensifier,semantic,0.8677313152426561,2691
fr,expansion_noimpact,semantic,0.866349832158965,2690
fr,expansion_impact,semantic,0.8463195409739244,2692
fr,omission,semantic,0.848395681349624,2617
fr,alteration,semantic,0.7704893730933791,2554
hi,spelling,semantic,0.8820974252993885,2678
hi,word_order,semantic,0.8362020908315826,2664
hi,synonym,semantic,0.8574368147659098,2670
hi,intensifier,semantic,0.8669508201367876,2690
hi,expansion_noimpact,semantic,0.8703674541143545,2695
hi,expansion_impact,semantic,0.8453215089502387,2669
hi,omission,semantic,0.8083419534333737,2539
hi,alteration,semantic,0.8176120219597571,2590
tl,spelling,semantic,0.9003547378783578,2681
tl,word_order,semantic,0.8709628364212391,2679
tl,synonym,semantic,0.8805147184338212,2682
tl,intensifier,semantic,0.8807139263716767,2689
tl,expansion_noimpact,semantic,0.8870817524886672,2664
tl,expansion_impact,semantic,0.8704184422720829,2671
tl,omission,semantic,0.8419559078933715,2552
tl,alteration,semantic,0.8174142099650351,2573
zh,spelling,semantic,0.8206251635649953,2658
zh,word_order,semantic,0.8115801951878149,2654
zh,synonym,semantic,0.8226275304671483,2664
zh,intensifier,semantic,0.8198287153820012,2664
zh,expansion_noimpact,semantic,0.820785546981246,2679
zh,expansion_impact,semantic,0.8060060908763541,2658
zh,omission,semantic,0.7822748949171994,2566
zh,alteration,semantic,0.7632381562023417,2558
es,spelling,atomic,0.8767802008776374,2743
es,word_order,atomic,0.8690744061701376,2732
es,synonym,atomic,0.8641047593481509,2733
es,intensifier,atomic,0.8582197983823266,2729
es,expansion_noimpact,atomic,0.8569659950986952,2734
es,expansion_impact,atomic,0.8436871586223416,2715
es,omission,atomic,0.8262711797839146,2665
es,alteration,atomic,0.7978885085246683,2598
fr,spelling,atomic,0.876287221338899,2740
fr,word_order,atomic,0.8627883921609595,2731
fr,synonym,atomic,0.8578622122608806,2747
fr,intensifier,atomic,0.8620588797790191,2738
fr,expansion_noimpact,atomic,0.8631266644503445,2738
fr,expansion_impact,atomic,0.8432905897348356,2736
fr,omission,atomic,0.839627091555195,2655
fr,alteration,atomic,0.7715845055064815,2613
hi,spelling,atomic,0.8812156611820259,2747
hi,word_order,atomic,0.8413084207070015,2682
hi,synonym,atomic,0.8505875249928212,2716
hi,intensifier,atomic,0.8598720730274867,2732
hi,expansion_noimpact,atomic,0.8691544517340196,2732
hi,expansion_impact,atomic,0.8432102875475321,2703
hi,omission,atomic,0.8016638784702653,2544
hi,alteration,atomic,0.8188059513279909,2633
tl,spelling,atomic,0.8974465378900646,2735
tl,word_order,atomic,0.8797210552216082,2711
tl,synonym,atomic,0.8805341111318615,2755
tl,intensifier,atomic,0.8825569211592099,2727
tl,expansion_noimpact,atomic,0.8862958481607324,2729
tl,expansion_impact,atomic,0.8683247331267439,2715
tl,omission,atomic,0.8285277447834417,2579
tl,alteration,atomic,0.8269173723732641,2608
zh,spelling,atomic,0.8224432837472697,2721
zh,word_order,atomic,0.8193987029201075,2721
zh,synonym,atomic,0.8179554644209008,2729
zh,intensifier,atomic,0.8153246522670528,2729
zh,expansion_noimpact,atomic,0.8184441586416603,2733
zh,expansion_impact,atomic,0.7971956501001648,2716
zh,omission,atomic,0.7749203094633542,2604
zh,alteration,atomic,0.7614426090067759,2587
