language,perturbation,pipeline,cosine_similarity,num_comparison
es,spelling,vanilla,0.8086222144841383,3003
es,word_order,vanilla,0.7983368618314923,1878
es,synonym,vanilla,0.797,2749
es,intensifier,vanilla,0.7992427297151069,2956
es,expansion_noimpact,vanilla,0.8013877344264865,2977
es,expansion_impact,vanilla,0.7859635094235903,2961
es,omission,vanilla,0.7595992740109043,2940
es,alteration,vanilla,0.6355777033893185,2986
fr,spelling,vanilla,0.8045795486990417,2982
fr,word_order,vanilla,0.8020920189923402,3003
fr,synonym,vanilla,0.794828884213187,2947
fr,intensifier,vanilla,0.7972685440422594,2991
fr,expansion_noimpact,vanilla,0.7973394530886464,2970
fr,expansion_impact,vanilla,0.7829528639424498,2984
fr,omission,vanilla,0.763291940159831,2984
fr,alteration,vanilla,0.6090970831468989,3006
hi,spelling,vanilla,0.8201744469484172,2962
hi,word_order,vanilla,0.7585550042516616,2981
hi,synonym,vanilla,0.7825865593453067,2959
hi,intensifier,vanilla,0.7936593321071047,2944
hi,expansion_noimpact,vanilla,0.795540824562265,2989
hi,expansion_impact,vanilla,0.7745225138325629,2955
hi,omission,vanilla,0.717268318417199,2960
hi,alteration,vanilla,0.6999574832077017,2989
tl,spelling,vanilla,0.8272832540501569,2956
tl,word_order,vanilla,0.8122859990866577,2952
tl,synonym,vanilla,0.8130956452938867,2934
tl,intensifier,vanilla,0.8187840605232453,2974
tl,expansion_noimpact,vanilla,0.8128133139038436,2972
tl,expansion_impact,vanilla,0.7980203500014399,2980
tl,omission,vanilla,0.7428037134329475,2938
tl,alteration,vanilla,0.6806003383849903,2980
zh,spelling,vanilla,0.7533942914646024,2956
zh,word_order,vanilla,0.7624228920121128,2957
zh,synonym,vanilla,0.7539476218484126,2927
zh,intensifier,vanilla,0.7625301217655294,2972
zh,expansion_noimpact,vanilla,0.7668026146292812,2962
zh,expansion_impact,vanilla,0.7498200424912492,2928
zh,omission,vanilla,0.6950888315392091,2941
zh,alteration,vanilla,0.6369619840315663,2912
es,spelling,semantic,0.8181850553334191,4217
es,word_order,semantic,0.8046868930375182,4190
es,synonym,semantic,0.8024566419632846,4191
es,intensifier,semantic,0.8000188612512559,4209
es,expansion_noimpact,semantic,0.8005591632862237,4196
es,expansion_impact,semantic,0.7874303319230818,4188
es,omission,semantic,0.7650039251619645,4196
es,alteration,semantic,0.618072144392568,4142
fr,spelling,semantic,0.8103798327107179,4212
fr,word_order,semantic,0.7977226330216028,4195
fr,synonym,semantic,0.7919254205214905,4240
fr,intensifier,semantic,0.799863271441005,4192
fr,expansion_noimpact,semantic,0.7989350570466083,4225
fr,expansion_impact,semantic,0.7756768780060864,4190
fr,omission,semantic,0.7667689879137043,4187
fr,alteration,semantic,0.5749452779569553,4162
hi,spelling,semantic,0.8106838632506331,4184
hi,word_order,semantic,0.7721911521939567,4202
hi,synonym,semantic,0.7804636261609287,4190
hi,intensifier,semantic,0.7917331355542762,4201
hi,expansion_noimpact,semantic,0.8019223723937277,4193
